Id,Date,Transaction
101,2/2,+688.31
102,10/10,+714.97
103,1/2,+913.86
104,6/4,+647.54
105,1/17,-855.16
106,3/15,+412.35
107,5/18,-274.21
108,3/16,-28.98
109,9/18,+505.18
110,3/23,-602.38
111,6/27,+475.07
112,11/13,+820.15
113,4/6,-93.10
114,1/13,-601.76
115,7/2,-549.66
116,9/3,-136.98
117,5/1,+517.50
118,4/15,-350.82
119,12/20,-68.68
120,4/2,-368.86
121,4/25,+71.66
122,8/18,-109.30
123,5/1,+64.38
124,6/2,-161.71
125,11/5,+377.92
126,12/18,+262.59
127,12/12,-17.45
128,8/25,-248.94
129,4/20,-534.44
130,9/13,-820.07
131,2/16,-700.44
132,2/5,+584.82
133,7/13,-39.57
134,7/24,+417.68
135,9/6,-384.88
136,12/2,+576.90
137,2/1,-168.43
138,2/7,-304.57
139,11/10,-273.14
140,12/23,-5.35
141,12/17,+172.73
142,8/5,+424.51
143,8/7,-430.69
144,2/3,-965.47
145,6/23,+113.74
146,4/11,+541.13
147,11/24,-705.55
148,4/19,+465.43
149,9/2,-512.87
150,12/1,-280.87
151,8/27,+886.46
152,5/25,+178.36
153,1/19,+207.08
154,9/9,+915.24
155,3/2,-356.69
156,2/1,-253.13
157,11/7,-907.88
158,1/5,+268.53
159,1/27,-170.03
160,4/16,-15.12
161,5/18,+367.07
162,5/18,-895.07
163,8/4,-129.87
164,9/27,+186.18
165,1/4,-649.72
166,5/8,-197.65
167,8/1,+846.04
168,11/27,+359.46
169,8/8,+170.81
170,2/16,+278.15
171,2/3,+783.56
172,10/6,+985.88
173,6/13,+792.36
174,6/6,+698.72
175,8/19,+611.08
176,5/10,-854.70
177,1/14,-619.54
178,8/14,+911.46
179,11/11,+87.81
180,4/21,-602.68
181,6/6,-201.28
182,12/11,-869.70
183,3/23,+414.79
184,4/15,+962.93
185,8/27,-991.32
186,12/6,-846.88
187,10/17,-184.95
188,4/14,+436.93
189,10/8,-797.80
190,10/6,-97.29
191,3/4,-523.55
192,9/6,+34.81
193,8/11,+651.82
194,1/27,+994.43
195,7/24,-126.44
196,2/26,+253.32
197,9/17,+591.43
198,6/26,+98.24
199,12/21,-667.36
200,12/4,+802.39
201,10/26,-407.82
202,3/16,+527.08
203,9/24,+329.62
204,11/24,-113.61
205,12/16,-262.66
206,8/1,-197.68
207,5/19,+943.12
208,7/10,-449.76
209,8/24,-909.70
210,3/22,-224.29
211,7/23,+465.54
212,4/10,-514.59
213,12/4,-878.68
214,12/17,-189.06
215,8/3,-401.01
216,2/22,+812.94
217,7/17,+12.55
218,9/19,+17.74
219,4/8,-240.14
220,8/1,+524.90
221,1/25,+945.89
222,3/21,-910.45
223,2/17,+503.10
224,11/6,+215.77
225,12/7,+506.77
226,1/18,-374.54
227,6/12,-298.55
228,10/4,-819.00
229,2/6,-535.67
230,5/22,-956.56
231,12/17,+893.26
232,11/1,-795.20
233,2/11,-637.04
234,9/7,-56.61
235,12/24,-177.47
236,7/13,-82.32
237,5/23,+481.74
238,11/5,-724.42
239,4/24,-902.24
240,11/25,+946.79
241,8/3,-351.49
242,6/12,+137.80
243,1/9,-455.27
244,2/9,-213.59
245,1/1,-807.19
246,12/19,-636.43
247,6/19,-408.84
248,2/20,-58.56
249,12/10,+837.37
250,5/9,+431.70
251,6/4,-407.92
252,2/9,-896.25
253,2/17,+748.37
